repo,pr_id,reviewer,review_decision,review_time,review_comment,is_ai_reviewer
microsoft/vscode,324160,copilot-pull-request-reviewer[bot],COMMENTED,2026-07-03T06:10:47Z,"## Pull request overview

This PR hardens `PersistentProtocol` (the reconnection-capable IPC protocol used by the remote agent connection) against unbounded memory growth. The protocol keeps unacknowledged outgoing messages in a replay buffer so they can be re-sent after a reconnection; if a peer stops acknowledging (dead or heavily backpressured), that buffer could grow without limit. The change adds count- and byte-based caps and, when exceeded, emits a socket timeout and drops the buffer.

**Changes:**
- Track retained payload bytes (`_outgoingUnackMsgBytes`) alongside the unacknowledged-message queue, and add configurable/default caps (`MaxOutgoingUnacknowledgedMessages` = 10000, `MaxOutgoingUnacknowledgedBytes` = 256MB).
- On overflow, fire an `UNACKNOWLEDGED_MESSAGE` socket timeout, clear the replay buffer, and add a `Queue.clear()` helper; surface retained bytes in the `SocketTimeoutEvent` and timeout logging.
- Add a node IPC regression test for the byte-limit path.

### Reviewed changes

Copilot reviewed 3 out of 3 changed files in this pull request and generated 3 comments.

| File | Description |
| ---- | ----------- |
| `src/vs/base/parts/ipc/common/ipc.net.ts` | Adds byte tracking, overflow limits/options, `Queue.clear()`, overflow-check and buffer-clear methods, and the new `unacknowledgedMsgBytes` event field. |
| `src/vs/platform/remote/common/remoteAgentConnection.ts` | Includes `unacknowledgedMsgBytes` in the socket-timeout log line. |
| `src/vs/base/parts/ipc/test/node/ipc.net.test.ts` | New regression test verifying the replay buffer is dropped when the byte limit is exceeded. |




",True
microsoft/vscode,324160,copilot-pull-request-reviewer[bot],COMMENTED,2026-07-03T07:12:46Z,"## Pull request overview

Copilot reviewed 3 out of 3 changed files in this pull request and generated no new comments.




",True
microsoft/vscode,324159,TylerLeonhardt,COMMENTED,2026-07-03T05:57:11Z,,False
microsoft/vscode,324157,copilot-pull-request-reviewer[bot],COMMENTED,2026-07-03T05:15:22Z,"## Pull request overview

This PR fixes a bug where deselecting individual tools that belong to hidden, built-in client tool sets (e.g. notebooks, tasks, terminal groupings) did not persist — the tool would immediately be re-enabled. In `ChatSelectedTools.entriesMap`, hidden tool sets defaulted to ""enabled"" (they can't be toggled in the picker), and the member-tool loop (`toolSetEnabled || …`) then forced their member tools back on, overriding the user's per-tool selection. The fix skips `hiddenInToolsPicker` tool sets during enablement resolution, relying on the earlier per-tool loop to resolve their members. This matches how `chatToolPicker.ts` already skips hidden tool sets.

**Changes:**
- Skip tool sets marked `hiddenInToolsPicker` when building the tool/tool-set enablement map so individually disabled member tools stay disabled.
- Add a regression test (`#324006`) verifying a tool disabled individually stays disabled even when its owning hidden tool set resolves to enabled.

<details open>
<summary>Show a summary per file</summary>

| File | Description |
| ---- | ----------- |
| `src/vs/workbench/contrib/chat/browser/widget/input/chatSelectedTools.ts` | Skips hidden tool sets in `entriesMap` so they no longer re-enable disabled member tools. |
| `src/vs/workbench/contrib/chat/test/browser/widget/input/chatSelectedTools.test.ts` | Adds a regression test covering disabling a tool that belongs to a hidden tool set. |
</details>

## Review details





- **Files reviewed:** 2/2 changed files
- **Comments generated:** 0
- **Review effort level:** Medium


",True
microsoft/vscode,324157,justschen,APPROVED,2026-07-03T06:31:01Z,,False
microsoft/vscode,324144,copilot-pull-request-reviewer[bot],COMMENTED,2026-07-03T02:46:10Z,"## Pull request overview

This PR refines the `working_with_the_user` section of the gpt-5.6 agent system prompt (`Gpt56Prompt`). It adds explicit guidance clarifying the distinction between the `commentary` and `final` channels, instructing the model to keep the final answer self-contained and to avoid placing blocking questions or the final answer in the commentary channel.

**Changes:**
- Added a single instruction line to the prompt describing correct usage of the `commentary` vs `final` channels and requiring the final answer to be fully self-contained.

<details open>
<summary>Show a summary per file</summary>

| File | Description |
| ---- | ----------- |
| extensions/copilot/src/extension/prompts/node/agent/openai/gpt56Prompt.tsx | Adds prompt guidance clarifying `commentary` vs `final` channel behavior and self-contained final answers. |
</details>

## Review details





- **Files reviewed:** 1/1 changed files
- **Comments generated:** 1
- **Review effort level:** Medium


",True
microsoft/vscode,324144,dmitrivMS,APPROVED,2026-07-03T04:39:40Z,,False
microsoft/vscode,324143,copilot-pull-request-reviewer[bot],COMMENTED,2026-07-03T02:27:54Z,"## Pull request overview

This PR fixes issue #324142, where the ""Overview"" entry in the Agent Customizations Management editor's sidebar could not be highlighted or reached via keyboard. Previously, ""Overview"" was a bespoke button rendered in the sidebar header, separate from the section list, so it never participated in list selection/focus. The PR removes that custom home button and instead models ""Overview"" as a real first item in the sections list, giving it proper highlighting, selection, and keyboard navigation parity with the other tabs.

**Changes:**
- Introduces `OVERVIEW_SECTION_ID` plus `IOverviewSectionItem`/`ISidebarItem` types and a `getSidebarItems()` helper that prepends the Overview item to the section list.
- Routes selection of the Overview item to `showWelcomePage()` and updates `ensureSectionsListReflectsActiveSection` to select the Overview row when no section is active.
- Removes the custom sidebar home button (and its harness-presentation/style helpers) and the now-dead CSS, and re-enables the harness dropdown creation call.

### Reviewed changes

Copilot reviewed 2 out of 2 changed files in this pull request and generated no comments.

| File | Description |
| ---- | ----------- |
| `src/vs/workbench/contrib/chat/browser/aiCustomization/aiCustomizationManagementEditor.ts` | Adds Overview as a list item, rewires selection/focus logic through `getSidebarItems()`, and removes the custom home button and its helper methods. |
| `src/vs/workbench/contrib/chat/browser/aiCustomization/media/aiCustomizationManagement.css` | Removes the now-unused `.sidebar-home-*` and `.ai-customization-overview` styles. |




",True
microsoft/vscode,324140,copilot-pull-request-reviewer[bot],COMMENTED,2026-07-03T01:56:06Z,"## Pull request overview

This PR addresses VS Code issue #324139 by synchronizing looping CSS animations so session-list “in progress” shimmers and pixel spinners render in-phase rather than starting on independent clocks.

**Changes:**
- Added a reusable `synchronizeCSSAnimations` helper that phase-aligns looping CSS animations to the document timeline.
- Updated the sessions list title shimmer to resync on animation start so all rows shimmer in lock-step.
- Updated the pixel spinner to resync when resuming after being paused offscreen, preventing visible spinners from drifting out of sync.

<details open>
<summary>Show a summary per file</summary>

| File | Description |
| ---- | ----------- |
| src/vs/sessions/contrib/sessions/browser/views/sessionsList.ts | Resync the “in progress” title shimmer on animation start to keep row shimmers aligned. |
| src/vs/base/browser/ui/pixelSpinner/pixelSpinner.ts | Resync spinner animations when they resume after being paused via IntersectionObserver. |
| src/vs/base/browser/animationSync.ts | New helper to phase-align CSS animations to a shared timeline origin. |
</details>

## Review details





- **Files reviewed:** 3/3 changed files
- **Comments generated:** 2
- **Review effort level:** Low


",True
microsoft/vscode,324140,justschen,COMMENTED,2026-07-03T02:00:37Z,,False
microsoft/vscode,324140,justschen,COMMENTED,2026-07-03T02:00:38Z,,False
microsoft/vscode,324140,dmitrivMS,APPROVED,2026-07-03T06:14:27Z,,False
microsoft/vscode,324135,copilot-pull-request-reviewer[bot],COMMENTED,2026-07-03T00:36:07Z,Copilot can't review bot-authored pull requests automatically. A user with Copilot access can request a review manually.,True
microsoft/vscode,324135,rzhao271,APPROVED,2026-07-03T00:57:07Z,,False
microsoft/vscode,324135,dmitrivMS,APPROVED,2026-07-03T01:17:51Z,,False
microsoft/vscode,324135,chrmarti,APPROVED,2026-07-03T07:11:53Z,,False
