repo,pr_id,title,merged,context_type,prompt_type,prompt,response,pred_merge,elapsed_s,response_length,created_at
microsoft/vscode,324159,agentHost: route GitHub protected resources through a GitHub Enterprise endpoint service,False,1,role,"You are a meticulous senior engineer and reviewer.
Review the PR carefully, then provide a merge decision and targeted review comments.

Context:
Diff summary:
Modified files (28):
- src/vs/platform/agentHost/common/agentHostCustomizationConfig.ts
- src/vs/platform/agentHost/common/githubEndpoints.ts
- src/vs/platform/agentHost/node/agentHostCommitOperationHandler.ts
- src/vs/platform/agentHost/node/agentHostGitHubEndpointService.ts
- src/vs/platform/agentHost/node/agentHostGitStateService.ts
- src/vs/platform/agentHost/node/agentHostMain.ts
- src/vs/platform/agentHost/node/agentHostPullRequestOperationHandler.ts
- src/vs/platform/agentHost/node/agentHostServerMain.ts
- src/vs/platform/agentHost/node/agentService.ts
- src/vs/platform/agentHost/node/claude/claudeAgent.ts
- src/vs/platform/agentHost/node/codex/codexAgent.ts
- src/vs/platform/agentHost/node/copilot/copilotAgent.ts
- src/vs/platform/agentHost/node/shared/agentHostOctoKitService.ts
- src/vs/platform/agentHost/node/shared/copilotApiService.ts
- src/vs/platform/agentHost/test/common/githubEndpoints.test.ts
- src/vs/platform/agentHost/test/node/agentHostCommitOperationHandler.test.ts
- src/vs/platform/agentHost/test/node/agentHostGitHubEndpointService.test.ts
- src/vs/platform/agentHost/test/node/agentHostGitStateService.test.ts
- src/vs/platform/agentHost/test/node/agentHostPullRequestOperationHandler.test.ts
- src/vs/platform/agentHost/test/node/claudeAgent.integrationTest.ts
Additions: 795, Deletions: 70

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '158ec7a1-5506-4675-ba96-a70c7bc7dd2f'}}",,0.0,536,2026-07-13T16:13:12.459233+00:00
microsoft/vscode,324144,Prompt update for gpt-5.6,True,1,role,"You are a meticulous senior engineer and reviewer.
Review the PR carefully, then provide a merge decision and targeted review comments.

Context:
Diff summary:
Modified files (1):
- extensions/copilot/src/extension/prompts/node/agent/openai/gpt56Prompt.tsx
Additions: 1, Deletions: 0

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'd7d60313-98d5-4438-ac72-dbd03e4bea3a'}}",,0.0,536,2026-07-13T16:13:12.542031+00:00
microsoft/vscode,324140,fix mismatched spinners in chat,True,1,role,"You are a meticulous senior engineer and reviewer.
Review the PR carefully, then provide a merge decision and targeted review comments.

Context:
Diff summary:
Modified files (3):
- src/vs/base/browser/animationSync.ts
- src/vs/base/browser/ui/pixelSpinner/pixelSpinner.ts
- src/vs/sessions/contrib/sessions/browser/views/sessionsList.ts
Additions: 115, Deletions: 3

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '2b070fa0-22ba-4abc-9dad-b7392bf6d88b'}}",,0.0,536,2026-07-13T16:13:12.625506+00:00
microsoft/vscode,324131,Prompt timeline rail for the Agents window,False,1,role,"You are a meticulous senior engineer and reviewer.
Review the PR carefully, then provide a merge decision and targeted review comments.

Context:
Diff summary:
Modified files (15):
- build/lib/i18n.resources.json
- build/lib/stylelint/vscode-known-variables.json
- src/vs/sessions/contrib/promptTimeline/browser/media/promptTimeline.css
- src/vs/sessions/contrib/promptTimeline/browser/promptBucketing.ts
- src/vs/sessions/contrib/promptTimeline/browser/promptTimeline.contribution.ts
- src/vs/sessions/contrib/promptTimeline/browser/promptTimelineActions.ts
- src/vs/sessions/contrib/promptTimeline/browser/promptTimelineModel.ts
- src/vs/sessions/contrib/promptTimeline/browser/promptTimelineRail.ts
- src/vs/sessions/contrib/promptTimeline/browser/promptTimelineWidgetContrib.ts
- src/vs/sessions/contrib/promptTimeline/common/promptTimeline.ts
- src/vs/sessions/contrib/promptTimeline/test/browser/promptBucketing.test.ts
- src/vs/sessions/sessions.common.main.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostResponseFileChanges.ts
- src/vs/workbench/contrib/chat/common/editing/chatEditingService.ts
- src/vs/workbench/contrib/chat/test/browser/agentHost/agentHostResponseFileChanges.test.ts
Additions: 1758, Deletions: 3

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '0da9360c-c7f5-4acc-ba69-e7496781887a'}}",,0.0,536,2026-07-13T16:13:12.709579+00:00
microsoft/vscode,324129,"agentHost: sync .vscode/mcp.json servers, enable SDK config discovery",True,1,role,"You are a meticulous senior engineer and reviewer.
Review the PR carefully, then provide a merge decision and targeted review comments.

Context:
Diff summary:
Modified files (6):
- src/vs/platform/agentHost/node/copilot/copilotSessionLauncher.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostActiveClientService.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostLocalCustomizations.ts
- src/vs/workbench/contrib/chat/test/browser/agentSessions/resolveCustomizationRefs.test.ts
- src/vs/workbench/contrib/mcp/common/discovery/installedMcpServersDiscovery.ts
- src/vs/workbench/contrib/mcp/common/mcpTypes.ts
Additions: 332, Deletions: 13

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'a81d0383-a035-43df-95e9-be377c98fdf3'}}",,0.0,536,2026-07-13T16:13:12.790215+00:00
microsoft/vscode,324125,Update distro commit to 5b10bb5b3d400cf801a343ebe7ed2e9835df5ab4,True,1,role,"You are a meticulous senior engineer and reviewer.
Review the PR carefully, then provide a merge decision and targeted review comments.

Context:
Diff summary:
Modified files (1):
- package.json
Additions: 1, Deletions: 1

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '2c0af553-8ee0-44d2-9c95-9fa75ea7b3e4'}}",,0.0,536,2026-07-13T16:13:12.871699+00:00
microsoft/vscode,324121,Don't crash BYOK/custom models when the response hits the length limit,True,1,role,"You are a meticulous senior engineer and reviewer.
Review the PR carefully, then provide a merge decision and targeted review comments.

Context:
Diff summary:
Modified files (2):
- extensions/copilot/src/extension/conversation/vscode-node/languageModelAccess.ts
- extensions/copilot/src/extension/conversation/vscode-node/test/languageModelAccess.test.ts
Additions: 44, Deletions: 0

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'c3bf2e38-7206-46f3-a56e-fc777c35c376'}}",,0.0,536,2026-07-13T16:13:12.955828+00:00
microsoft/vscode,324120,chat: accept local folder paths in Install Plugin from Source,True,1,role,"You are a meticulous senior engineer and reviewer.
Review the PR carefully, then provide a merge decision and targeted review comments.

Context:
Diff summary:
Modified files (8):
- src/vs/workbench/contrib/chat/browser/actions/chatPluginActions.ts
- src/vs/workbench/contrib/chat/browser/pluginInstallService.ts
- src/vs/workbench/contrib/chat/browser/pluginUrlHandler.ts
- src/vs/workbench/contrib/chat/common/plugins/AGENTS_PLUGINS.md
- src/vs/workbench/contrib/chat/common/plugins/pluginInstallService.ts
- src/vs/workbench/contrib/chat/common/plugins/pluginMarketplaceService.ts
- src/vs/workbench/contrib/chat/test/browser/plugins/pluginInstallService.test.ts
- src/vs/workbench/contrib/chat/test/browser/plugins/pluginUrlHandler.test.ts
Additions: 388, Deletions: 98

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '84c7d7e5-c3fc-452a-a8f8-10be976d9cc0'}}",,0.0,536,2026-07-13T16:13:13.034436+00:00
microsoft/vscode,324103,"chat: show ""Starting MCP servers…"" hint for slow agent-host startup",True,1,role,"You are a meticulous senior engineer and reviewer.
Review the PR carefully, then provide a merge decision and targeted review comments.

Context:
Diff summary:
Modified files (8):
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostSessionHandler.ts
- src/vs/workbench/contrib/chat/browser/widget/chatContentParts/chatMcpServersStartingContentPart.ts
- src/vs/workbench/contrib/chat/browser/widget/chatListRenderer.ts
- src/vs/workbench/contrib/chat/common/chatService/chatService.ts
- src/vs/workbench/contrib/chat/common/model/chatModel.ts
- src/vs/workbench/contrib/chat/common/model/chatSessionOperationLog.ts
- src/vs/workbench/contrib/chat/common/model/chatViewModel.ts
- src/vs/workbench/contrib/chat/test/browser/widget/chatContentParts/chatMcpServersStartingContentPart.test.ts
Additions: 242, Deletions: 9

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '43bf36ca-5646-4318-9a9d-006809d5b1d9'}}",,0.0,536,2026-07-13T16:13:13.118311+00:00
microsoft/vscode,324099,Copilot CLI agent-host: experimentation overrides + config split,False,1,role,"You are a meticulous senior engineer and reviewer.
Review the PR carefully, then provide a merge decision and targeted review comments.

Context:
Diff summary:
Modified files (27):
- src/vs/platform/agentHost/common/agentHostCustomizationConfig.ts
- src/vs/platform/agentHost/common/agentService.ts
- src/vs/platform/agentHost/common/copilotCliConfig.ts
- src/vs/platform/agentHost/node/agentConfigurationService.ts
- src/vs/platform/agentHost/node/copilot/copilotAgent.ts
- src/vs/platform/agentHost/node/copilot/copilotAgentSession.ts
- src/vs/platform/agentHost/node/copilot/copilotSessionLauncher.ts
- src/vs/platform/agentHost/node/copilot/prompts/AGENTS.md
- src/vs/platform/agentHost/node/copilot/prompts/anthropicPrompt.ts
- src/vs/platform/agentHost/node/copilot/prompts/promptRegistry.ts
- src/vs/platform/agentHost/node/copilot/sandboxConfigForSdk.ts
- src/vs/platform/agentHost/test/common/copilotCliConfig.test.ts
- src/vs/platform/agentHost/test/node/agentHostPromptRegistry.test.ts
- src/vs/platform/agentHost/test/node/copilotAgent.test.ts
- src/vs/platform/agentHost/test/node/copilotAgentSession.test.ts
- src/vs/platform/agentHost/test/node/copilotSessionLauncher.test.ts
- src/vs/platform/agentHost/test/node/protocol/realSdkTestHelpers.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostCopilotCliSettingsContribution.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostCopilotPromptContribution.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostRootConfigForwarder.ts
Additions: 669, Deletions: 386

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '92336c08-4912-43f9-a1f5-332601a43795'}}",,0.0,536,2026-07-13T16:13:13.834243+00:00
