repo,pr_id,file_count,modified_files,modified_functions,total_additions,total_deletions,commit_messages
microsoft/vscode,324160,3,"['src/vs/base/parts/ipc/common/ipc.net.ts', 'src/vs/base/parts/ipc/test/node/ipc.net.test.ts', 'src/vs/platform/remote/common/remoteAgentConnection.ts']","['_checkOutgoingUnacknowledgedOverflow', 'clear', '_clearOutgoingUnacknowledgedMessages']",164,2,"['fix: prevent unbounded PersistentProtocol replay buffer\n\nFixes a memory leak in `PersistentProtocol`.\n\n`PersistentProtocol` keeps every regular message in `_outgoingUnackMsg`\nuntil the peer acknowledges it. That queue is also the replay buffer used\nwhen a connection reconnects.\n\nWhen a connection is dead, congested, or stuck reconnecting,\nacknowledgements can stop advancing while callers continue to send\nmessages. In that state, `_outgoingUnackMsg` keeps retaining every\nunacknowledged payload until the protocol is disposed.\n\nBound the replay buffer by both message count and retained payload bytes.\nWhen either limit is exceeded, emit a dedicated replay-buffer-overflow\ntimeout reason, clear the buffer, and treat the overflow as unrecoverable\nfor remote connections.\n\nAdd node IPC regression tests for both byte-limit and count-limit overflow\npaths.']"
microsoft/vscode,324159,28,"['src/vs/platform/agentHost/common/agentHostCustomizationConfig.ts', 'src/vs/platform/agentHost/common/githubEndpoints.ts', 'src/vs/platform/agentHost/node/agentHostCommitOperationHandler.ts', 'src/vs/platform/agentHost/node/agentHostGitHubEndpointService.ts', 'src/vs/platform/agentHost/node/agentHostGitStateService.ts', 'src/vs/platform/agentHost/node/agentHostMain.ts', 'src/vs/platform/agentHost/node/agentHostPullRequestOperationHandler.ts', 'src/vs/platform/agentHost/node/agentHostServerMain.ts', 'src/vs/platform/agentHost/node/agentService.ts', 'src/vs/platform/agentHost/node/claude/claudeAgent.ts', 'src/vs/platform/agentHost/node/codex/codexAgent.ts', 'src/vs/platform/agentHost/node/copilot/copilotAgent.ts', 'src/vs/platform/agentHost/node/shared/agentHostOctoKitService.ts', 'src/vs/platform/agentHost/node/shared/copilotApiService.ts', 'src/vs/platform/agentHost/test/common/githubEndpoints.test.ts', 'src/vs/platform/agentHost/test/node/agentHostCommitOperationHandler.test.ts', 'src/vs/platform/agentHost/test/node/agentHostGitHubEndpointService.test.ts', 'src/vs/platform/agentHost/test/node/agentHostGitStateService.test.ts', 'src/vs/platform/agentHost/test/node/agentHostPullRequestOperationHandler.test.ts', 'src/vs/platform/agentHost/test/node/claudeAgent.integrationTest.ts', 'src/vs/platform/agentHost/test/node/claudeAgent.test.ts', 'src/vs/platform/agentHost/test/node/copilotAgent.test.ts', 'src/vs/platform/agentHost/test/node/shared/agentHostOctoKitService.test.ts', 'src/vs/platform/agentHost/test/node/shared/copilotApiService.integrationTest.ts', 'src/vs/platform/agentHost/test/node/shared/copilotApiService.test.ts', 'src/vs/platform/agentHost/test/node/testGitHubEndpointService.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostTerminalContribution.ts', 'src/vs/workbench/contrib/chat/test/browser/agentSessions/agentHostTerminalContribution.test.ts']","['flush', 'makeService', 'gitHubEndpointService', 'resolveGitHubUrl', 'snapshot', 'tokenResponse', 'anthropicResponse', 'getDefaultAccountAuthenticationProvider', 'gitHubCopilotResource', 'createService', 'gitHubRepoResource', '_resolve', 'rootStateWithGithubEnterpriseUriKey']",795,70,"['agentHost: route GitHub protected resources through a GitHub Enterprise endpoint service\n\nIntroduce IAgentHostGitHubEndpointService / AgentHostGitHubEndpointService as a\nsingle source of truth for GitHub (Enterprise) endpoints and their protected\nresources, so the agent host can target a configured GitHub Enterprise host\ninstead of hardcoded github.com constants.\n\n- Add `githubEndpoints.ts` (endpoint/resource derivation) and the endpoint\n  service, exposed off AgentService via `gitHubEndpointService`.\n- Copilot, Claude, and Codex agents resolve their Copilot/repo protected\n  resources via `getCopilotResource()` / `getRepoResource()` rather than the\n  GITHUB_*_PROTECTED_RESOURCE constants.\n- Order CopilotApiService and the proxies that consume it after the endpoint\n  service is registered (agentHostMain mirrors agentHostServerMain) so CAPI\n  endpoint discovery can target a GHE host.\n- CopilotAgent sets `COPILOT_GH_HOST` for the CLI and restarts the client when\n  the enterprise host changes; AgentService emits `auth/required` on GHE URI\n  change so clients re-authenticate against the new resource.\n- CopilotApiService derives the GitHub API base and enterprise URI from the\n  endpoint service for `/copilot_internal/user` discovery and CAPI domain setup.\n- Add unit tests + a testGitHubEndpointService helper.\n\nDraft / WIP: the CLI `GITHUB_COPILOT_INTEGRATION_ID` env is still commented out\nto exercise enterprise model enumeration (leaves COPILOT_INTEGRATION_ID unused);\nrestore it before this is ready for review.']"
microsoft/vscode,324157,2,"['src/vs/workbench/contrib/chat/browser/widget/input/chatSelectedTools.ts', 'src/vs/workbench/contrib/chat/test/browser/widget/input/chatSelectedTools.test.ts']","['timeout', 'runWithFakedTimers']",58,0,['Fix tool selection in Local harness']
microsoft/vscode,324144,1,['extensions/copilot/src/extension/prompts/node/agent/openai/gpt56Prompt.tsx'],[],1,0,"['Gate Responses API prompt cache breakpoints', 'updating prompts for gpt5', 'merging from release']"
microsoft/vscode,324143,2,"['src/vs/workbench/contrib/chat/browser/aiCustomization/aiCustomizationManagementEditor.ts', 'src/vs/workbench/contrib/chat/browser/aiCustomization/media/aiCustomizationManagement.css']",['getSidebarItems'],38,178,"['Fixed ""Overview"" highlight and tab navigation in ""Agent Customizations for Local"".', ""Merge remote-tracking branch 'upstream/main' into dev/yulia-vasyura/overview-highlight-fix\n\n# Conflicts:\n#\tsrc/vs/workbench/contrib/chat/browser/aiCustomization/aiCustomizationManagementEditor.ts""]"
microsoft/vscode,324140,3,"['src/vs/base/browser/animationSync.ts', 'src/vs/base/browser/ui/pixelSpinner/pixelSpinner.ts', 'src/vs/sessions/contrib/sessions/browser/views/sessionsList.ts']",[],115,3,"['fix mismatched spinners in chat', 'Address PR feedback: use DOM.EventType.ANIMATION_START and skip non-keyframe animations\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,324135,1,['package.json'],[],1,1,['Update distro commit to a78eb828']
microsoft/vscode,324132,1,['src/vs/sessions/contrib/providers/copilotChatSessions/browser/copilotChatSessionsChangesets.ts'],[],1,1,['sessions: fix endless spinner in Changes view for non-git folders']
microsoft/vscode,324131,15,"['build/lib/i18n.resources.json', 'build/lib/stylelint/vscode-known-variables.json', 'src/vs/sessions/contrib/promptTimeline/browser/media/promptTimeline.css', 'src/vs/sessions/contrib/promptTimeline/browser/promptBucketing.ts', 'src/vs/sessions/contrib/promptTimeline/browser/promptTimeline.contribution.ts', 'src/vs/sessions/contrib/promptTimeline/browser/promptTimelineActions.ts', 'src/vs/sessions/contrib/promptTimeline/browser/promptTimelineModel.ts', 'src/vs/sessions/contrib/promptTimeline/browser/promptTimelineRail.ts', 'src/vs/sessions/contrib/promptTimeline/browser/promptTimelineWidgetContrib.ts', 'src/vs/sessions/contrib/promptTimeline/common/promptTimeline.ts', 'src/vs/sessions/contrib/promptTimeline/test/browser/promptBucketing.test.ts', 'src/vs/sessions/sessions.common.main.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostResponseFileChanges.ts', 'src/vs/workbench/contrib/chat/common/editing/chatEditingService.ts', 'src/vs/workbench/contrib/chat/test/browser/agentHost/agentHostResponseFileChanges.test.ts']","['bucketPrompts', 'getPromptTimeline', 'dispose', '_hideCard', '_renderTickContent', '_updateActiveClasses', 'run', '_tickFor', 'ticks', '_recompute', 'uniformSample', '_showCard', 'localize', 'formatTickTime', '_bindViewModel', 'budgetBucketPrompts', '_updateEnablement', 'promptsEqual', '_canRead', 'activeRequestId', '_updateFit', '_renderMeta', '_diffsForRequest', '_ensureResizeObserver', '_renderStat', '_scheduleHideCard', 'getPromptPreview', 'toBucket', 'domNode', 'expandBucket', 'bucketKey', '_mountRail', 'formatTickDate', 'prompt', 'formatStat', 'reviewChanges', '_createRail', '_updateActive', '_readableSides', '_statForRequests', '_selectNearestTick', 'expandRecentBuckets']",1758,3,"['Add prompt timeline rail to the Agents window\n\nIntroduce a right-edge ""prompt timeline"" rail in the Agents window that\nlets users scan and jump between the prompts they have sent in a chat\nsession, adapted from GitHub\'s ""jump to your messages"" affordance.\n\n- Self-contained contrib under src/vs/sessions/contrib/promptTimeline,\n  attached per-widget via IChatWidgetContrib (no vs/workbench changes).\n- Recency-bucketed ticks (pure, unit-tested budgetBucketPrompts) capped\n  so each tick keeps a >=24px hit target (WCAG 2.5.8).\n- Dense marks at rest that expand on hover/focus, with green/red per-turn\n  diff magnitude and a solid-blue active mark.\n- Interactive hover card: prompt text, clickable +/- diff stats that open\n  the per-request diff, and per-file drill-down rows.\n- Per-request diffs via provider-agnostic IChatResponseFileChangesService\n  (agent-host server-computed turn changeset) with editing-session\n  fallback; diff sides are probed so missing checkpoint blobs render as a\n  pure add/delete instead of crashing the multi-diff editor.\n- Keyboard-first commands: Go to Next/Previous Prompt, Go to Prompt...\n  (quick pick), Review Changes for Prompt, with ARIA announcements.\n- Gated behind the new sessions.promptTimeline.enabled setting and\n  ChatContextKeys.enabled; rail is created/disposed reactively.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'Prompt timeline: quiet gray-dense rail with single-mark accordion\n\nReplace the whole-rail expand-on-engage behavior with a per-mark\naccordion. The rail now stays quiet, gray and dense at all times; only\nthe mark under the pointer (or keyboard focus) expands to a >=24px pill\nand reveals its green/red diff, so the rail no longer becomes a column\nof slim pills with large gaps when interacted with.\n\n- CSS: drop the `.engaged` whole-rail slot expansion and the transform\n  fisheye; expand only `:hover`/`:focus-visible` marks (8px -> 24px slot,\n  fat pill, diff colors). Active mark stays solid blue in every state.\n- Rail: remove the fisheye magnify, the engaged-state tracking, and the\n  magnitude width buckets; capacity now reserves headroom for a single\n  expanded mark over the dense 8px rhythm, so more prompts fit.\n- Drop the now-unused --tick-scale/--tick-scale-y custom properties.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'Prompt timeline: open per-file diff inside the multi-diff, revealed at that file\n\nClicking a file row in the hover card previously opened a standalone\nsingle-file diff. Route it through the same multi-file diff we already\nbuild for ""Review Changes"", passing viewState.revealData so it opens\nrevealed at the clicked file. Per-file and whole-prompt review now share\none multi-diff experience (and open in the modal editor when enabled),\nreusing the existing MultiDiffEditorInput without any new UI.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>', 'Prompt timeline: show per-turn diffs against the frozen after-turn snapshot\n\nThe per-prompt diff was rendering before-turn vs the live working file, so\nit showed the combined changes of all later turns. The per-turn changeset\nalready carries a frozen ""after"" snapshot; surface it and diff against it.\n\n- Add optional `modifiedContentURI` to IEditSessionEntryDiff: the frozen\n  after-state RHS content, distinct from `modifiedURI` (the live file used\n  for identity / go-to-file). Opt-in, so existing consumers (e.g. the chat\n  ""Changed N files"" summary) keep their current behavior unchanged.\n- Populate it in AgentHostResponseFileChangesProvider from the changeset\'s\n  after-content; extend its test to assert the mapping.\n- PromptTimelineModel now diffs originalURI (frozen before) against the\n  frozen after snapshot, so review shows only that turn\'s changes, while\n  go-to-file still opens the live working file.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
microsoft/vscode,324129,6,"['src/vs/platform/agentHost/node/copilot/copilotSessionLauncher.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostActiveClientService.ts', 'src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostLocalCustomizations.ts', 'src/vs/workbench/contrib/chat/test/browser/agentSessions/resolveCustomizationRefs.test.ts', 'src/vs/workbench/contrib/mcp/common/discovery/installedMcpServersDiscovery.ts', 'src/vs/workbench/contrib/mcp/common/mcpTypes.ts']","['FakeSyncProvider', 'makeConfigurationResolverService', 'resolveAsync', 'makeMcpServer']",332,13,"['agentHost: sync .vscode/mcp.json servers, enable SDK config discovery\n\nRefine how VS Code-configured MCP servers reach the agent host:\n\n- resolveCustomizationRefs now excludes workspace-discovered MCP servers\n  by default, since the agent host discovers workspace `.mcp.json` itself\n  (via enableConfigDiscovery). The exception is `.vscode/mcp.json`, which\n  the SDK does not discover: those servers are synced explicitly, but only\n  when their config resolves without user interaction. Resolution uses\n  IConfigurationResolverService.resolveAsync + ConfigurationResolverExpression\n  and skips servers that reference interactive variables (${input:…},\n  ${command:…}) or fail to resolve.\n\n- Enable `enableConfigDiscovery` when creating/resuming Copilot agent-host\n  sessions so the host discovers workspace `.mcp.json` on its own.\n\n- Move MCP_CONFIGURATION_COLLECTION_ID_PREFIX and add\n  McpCollectionDefinition.isWorkspaceDiscovered / isVscodeMcpJson helpers to\n  mcpTypes so the collection-classification logic lives in one place.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>']"
