repo,pr_id,title,merged,context_type,prompt_type,prompt,response,pred_merge,elapsed_s,response_length,created_at
microsoft/vscode,324159,agentHost: route GitHub protected resources through a GitHub Enterprise endpoint service,False,3,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (28):
- src/vs/platform/agentHost/common/agentHostCustomizationConfig.ts
- src/vs/platform/agentHost/common/githubEndpoints.ts
- src/vs/platform/agentHost/node/agentHostCommitOperationHandler.ts
- src/vs/platform/agentHost/node/agentHostGitHubEndpointService.ts
- src/vs/platform/agentHost/node/agentHostGitStateService.ts
- src/vs/platform/agentHost/node/agentHostMain.ts
- src/vs/platform/agentHost/node/agentHostPullRequestOperationHandler.ts
- src/vs/platform/agentHost/node/agentHostServerMain.ts
- src/vs/platform/agentHost/node/agentService.ts
- src/vs/platform/agentHost/node/claude/claudeAgent.ts
- src/vs/platform/agentHost/node/codex/codexAgent.ts
- src/vs/platform/agentHost/node/copilot/copilotAgent.ts
- src/vs/platform/agentHost/node/shared/agentHostOctoKitService.ts
- src/vs/platform/agentHost/node/shared/copilotApiService.ts
- src/vs/platform/agentHost/test/common/githubEndpoints.test.ts
- src/vs/platform/agentHost/test/node/agentHostCommitOperationHandler.test.ts
- src/vs/platform/agentHost/test/node/agentHostGitHubEndpointService.test.ts
- src/vs/platform/agentHost/test/node/agentHostGitStateService.test.ts
- src/vs/platform/agentHost/test/node/agentHostPullRequestOperationHandler.test.ts
- src/vs/platform/agentHost/test/node/claudeAgent.integrationTest.ts
Additions: 795, Deletions: 70

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

Commit Messages:
agentHost: route GitHub protected resources through a GitHub Enterprise endpoint service

Introduce IAgentHostGitHubEndpointService / AgentHostGitHubEndpointService as a
single source of truth for GitHub (Enterprise) endpoints and their protected
resources, so the agent host can target a configured GitHub Enterprise host
instead of hardcoded github.com constants.

- Add `githubEndpoints.ts` (endpoint/resource derivation) and the endpoint
  service, exposed off AgentService via `gitHubEndpointService`.
- Copilot, Claude, and Codex agents resolve their Copilot/repo protected
  resources via `getCopilotResource()` / `getRepoResource()` rather than the
  GITHUB_*_PROTECTED_RESOURCE constants.
- Order CopilotApiService and the proxies that consume it after the endpoint
  service is registered (agentHostMain mirrors agentHostServerMain) so CAPI
  endpoint discovery can target a GHE host.
- CopilotAgent sets `COPILOT_GH_HOST` for the CLI and restarts the client when
  the enterprise host changes; AgentService emits `auth/required` on GHE URI
  change so clients re-authenticate against the new resource.
- CopilotApiService derives the GitHub API base and enterprise URI from the
  endpoint service for `/copilot_internal/user` discovery and CAPI domain setup.
- Add unit tests + a testGitHubEndpointService helper.

Draft / WIP: the CLI `GITHUB_COPILOT_INTEGRATION_ID` env is still commented out
to exercise enterprise model enumeration (leaves COPILOT_INTEGRATION_ID unused);
restore it before this is ready for review.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'bfe72b51-a136-406f-a966-877b58c35abf'}}",,0.0,536,2026-07-13T16:16:55.072465+00:00
microsoft/vscode,324144,Prompt update for gpt-5.6,True,3,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (1):
- extensions/copilot/src/extension/prompts/node/agent/openai/gpt56Prompt.tsx
Additions: 1, Deletions: 0

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

Commit Messages:
Gate Responses API prompt cache breakpoints
---
updating prompts for gpt5
---
merging from release","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'ea07e464-6920-4316-849b-3f01c3b75c95'}}",,0.0,536,2026-07-13T16:16:55.153361+00:00
microsoft/vscode,324140,fix mismatched spinners in chat,True,3,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (3):
- src/vs/base/browser/animationSync.ts
- src/vs/base/browser/ui/pixelSpinner/pixelSpinner.ts
- src/vs/sessions/contrib/sessions/browser/views/sessionsList.ts
Additions: 115, Deletions: 3

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

Commit Messages:
fix mismatched spinners in chat
---
Address PR feedback: use DOM.EventType.ANIMATION_START and skip non-keyframe animations

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '799d1d53-6ac5-4fb5-b61c-539c23143b13'}}",,0.0,536,2026-07-13T16:16:55.245966+00:00
microsoft/vscode,324131,Prompt timeline rail for the Agents window,False,3,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (15):
- build/lib/i18n.resources.json
- build/lib/stylelint/vscode-known-variables.json
- src/vs/sessions/contrib/promptTimeline/browser/media/promptTimeline.css
- src/vs/sessions/contrib/promptTimeline/browser/promptBucketing.ts
- src/vs/sessions/contrib/promptTimeline/browser/promptTimeline.contribution.ts
- src/vs/sessions/contrib/promptTimeline/browser/promptTimelineActions.ts
- src/vs/sessions/contrib/promptTimeline/browser/promptTimelineModel.ts
- src/vs/sessions/contrib/promptTimeline/browser/promptTimelineRail.ts
- src/vs/sessions/contrib/promptTimeline/browser/promptTimelineWidgetContrib.ts
- src/vs/sessions/contrib/promptTimeline/common/promptTimeline.ts
- src/vs/sessions/contrib/promptTimeline/test/browser/promptBucketing.test.ts
- src/vs/sessions/sessions.common.main.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostResponseFileChanges.ts
- src/vs/workbench/contrib/chat/common/editing/chatEditingService.ts
- src/vs/workbench/contrib/chat/test/browser/agentHost/agentHostResponseFileChanges.test.ts
Additions: 1758, Deletions: 3

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

Commit Messages:
Add prompt timeline rail to the Agents window

Introduce a right-edge ""prompt timeline"" rail in the Agents window that
lets users scan and jump between the prompts they have sent in a chat
session, adapted from GitHub's ""jump to your messages"" affordance.

- Self-contained contrib under src/vs/sessions/contrib/promptTimeline,
  attached per-widget via IChatWidgetContrib (no vs/workbench changes).
- Recency-bucketed ticks (pure, unit-tested budgetBucketPrompts) capped
  so each tick keeps a >=24px hit target (WCAG 2.5.8).
- Dense marks at rest that expand on hover/focus, with green/red per-turn
  diff magnitude and a solid-blue active mark.
- Interactive hover card: prompt text, clickable +/- diff stats that open
  the per-request diff, and per-file drill-down rows.
- Per-request diffs via provider-agnostic IChatResponseFileChangesService
  (agent-host server-computed turn changeset) with editing-session
  fallback; diff sides are probed so missing checkpoint blobs render as a
  pure add/delete instead of crashing the multi-diff editor.
- Keyboard-first commands: Go to Next/Previous Prompt, Go to Prompt...
  (quick pick), Review Changes for Prompt, with ARIA announcements.
- Gated behind the new sessions.promptTimeline.enabled setting and
  ChatContextKeys.enabled; rail is created/disposed reactively.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>
---
Prompt timeline: quiet gray-dense rail with single-mark accordion

Replace the whole-rail expand-on-engage behavior with a per-mark
accordion. The rail now stays quiet, gray and dense at all times; only
the mark under the pointer (or keyboard focus) expands to a >=24px pill
and reveals its green/red diff, so the rail no longer becomes a column
of slim pills with large gaps when interacted with.

- CSS: drop the `.engaged` whole-rail slot expansion and the transform
  fisheye; expand only `:hover`/`:focus-visible` marks (8px -> 24px slot,
  fat pill, diff colors). Active mark stays solid blue in every state.
- Rail: remove the fisheye magnify, the engaged-state tracking, and the
  magnitude width buckets; capacity now reserves headroom for a single
  expanded mark over the dense 8px rhythm, so more prompts fit.
- Drop the now-unused --tick-scale/--tick-scale-y custom properties.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>
---
Prompt timeline: open per-file diff inside the multi-diff, revealed at that file

Clicking a file row in the hover card previously opened a standalone
single-file diff. Route it through the same multi-file diff we already
build for ""Review Changes"", passing viewState.revealData so it opens
revealed at the clicked file. Per-file and whole-prompt review now share
one multi-diff experience (and open in the modal editor when enabled),
reusing the existing MultiDiffEditorInput without any new UI.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>
---
Prompt timeline: show per-turn diffs against the frozen after-turn snapshot

The per-prompt diff was rendering before-turn vs the live working file, so
it showed the combined changes of all later turns. The per-turn changeset
already carries a frozen ""after"" snapshot; surface it and diff against it.

- Add optional `modifiedContentURI` to IEditSessionEntryDiff: the frozen
  after-state RHS content, distinct from `modifiedURI` (the live file used
  for identity / go-to-file). Opt-in, so existing consumers (e.g. the chat
  ""Changed N files"" summary) keep their current behavior unchanged.
- Populate it in AgentHostResponseFileChangesProvider from the changeset's
  after-content; extend its test to assert the mapping.
- PromptTimelineModel now diffs originalURI (frozen before) against the
  frozen after snapshot, so review shows only that turn's changes, while
  go-to-file still opens the live working file.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'e0752650-2f44-41e7-a7ab-2531466b9138'}}",,0.0,536,2026-07-13T16:16:55.330561+00:00
microsoft/vscode,324129,"agentHost: sync .vscode/mcp.json servers, enable SDK config discovery",True,3,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (6):
- src/vs/platform/agentHost/node/copilot/copilotSessionLauncher.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostActiveClientService.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostLocalCustomizations.ts
- src/vs/workbench/contrib/chat/test/browser/agentSessions/resolveCustomizationRefs.test.ts
- src/vs/workbench/contrib/mcp/common/discovery/installedMcpServersDiscovery.ts
- src/vs/workbench/contrib/mcp/common/mcpTypes.ts
Additions: 332, Deletions: 13

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

Commit Messages:
agentHost: sync .vscode/mcp.json servers, enable SDK config discovery

Refine how VS Code-configured MCP servers reach the agent host:

- resolveCustomizationRefs now excludes workspace-discovered MCP servers
  by default, since the agent host discovers workspace `.mcp.json` itself
  (via enableConfigDiscovery). The exception is `.vscode/mcp.json`, which
  the SDK does not discover: those servers are synced explicitly, but only
  when their config resolves without user interaction. Resolution uses
  IConfigurationResolverService.resolveAsync + ConfigurationResolverExpression
  and skips servers that reference interactive variables (${input:…},
  ${command:…}) or fail to resolve.

- Enable `enableConfigDiscovery` when creating/resuming Copilot agent-host
  sessions so the host discovers workspace `.mcp.json` on its own.

- Move MCP_CONFIGURATION_COLLECTION_ID_PREFIX and add
  McpCollectionDefinition.isWorkspaceDiscovered / isVscodeMcpJson helpers to
  mcpTypes so the collection-classification logic lives in one place.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '7a10fa67-98e8-4153-9211-5f972b943c82'}}",,0.0,536,2026-07-13T16:16:55.412713+00:00
microsoft/vscode,324125,Update distro commit to 5b10bb5b3d400cf801a343ebe7ed2e9835df5ab4,True,3,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (1):
- package.json
Additions: 1, Deletions: 1

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

Commit Messages:
Update distro commit to 5b10bb5b3d400cf801a343ebe7ed2e9835df5ab4

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '12f044f3-32b2-4811-9a0f-943946c49596'}}",,0.0,536,2026-07-13T16:16:55.490769+00:00
microsoft/vscode,324121,Don't crash BYOK/custom models when the response hits the length limit,True,3,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (2):
- extensions/copilot/src/extension/conversation/vscode-node/languageModelAccess.ts
- extensions/copilot/src/extension/conversation/vscode-node/test/languageModelAccess.test.ts
Additions: 44, Deletions: 0

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

Commit Messages:
Add handling for truncated responses in CopilotLanguageModelWrapper","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'e163c6c9-b70c-4528-8804-164a28a85251'}}",,0.0,536,2026-07-13T16:16:55.579862+00:00
microsoft/vscode,324120,chat: accept local folder paths in Install Plugin from Source,True,3,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (8):
- src/vs/workbench/contrib/chat/browser/actions/chatPluginActions.ts
- src/vs/workbench/contrib/chat/browser/pluginInstallService.ts
- src/vs/workbench/contrib/chat/browser/pluginUrlHandler.ts
- src/vs/workbench/contrib/chat/common/plugins/AGENTS_PLUGINS.md
- src/vs/workbench/contrib/chat/common/plugins/pluginInstallService.ts
- src/vs/workbench/contrib/chat/common/plugins/pluginMarketplaceService.ts
- src/vs/workbench/contrib/chat/test/browser/plugins/pluginInstallService.test.ts
- src/vs/workbench/contrib/chat/test/browser/plugins/pluginUrlHandler.test.ts
Additions: 388, Deletions: 98

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

Commit Messages:
Support local folder paths in Install Plugin from Source

""Install Plugin from Source"" now accepts local folder paths (file:// URIs,
absolute paths, and ~-prefixed paths) in addition to GitHub shorthand and
git URLs. Local folders are inspected to route them to the right setting: a
marketplace (has marketplace.json) is registered under chat.plugins.marketplaces,
while a standalone plugin (has a single-plugin manifest) is registered under
chat.pluginLocations.

Also consolidates installPluginFromSource and installPluginFromValidatedSource
into a single result-returning installPluginFromSource; callers now surface
source-level error messages themselves.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>
---
Address review: verify trust before persisting local marketplace

Declining the trust prompt for a local folder that is a marketplace no longer
persists it under chat.plugins.marketplaces; the trust check now runs before
config is written, mirroring the git path. Also fixes a chat.plugins.marketplaces
doc typo in AGENTS_PLUGINS.md.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'dbdb3e0b-096e-4c9c-a09a-77fe3bd477f5'}}",,0.0,536,2026-07-13T16:16:55.661940+00:00
microsoft/vscode,324103,"chat: show ""Starting MCP servers…"" hint for slow agent-host startup",True,3,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (8):
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostSessionHandler.ts
- src/vs/workbench/contrib/chat/browser/widget/chatContentParts/chatMcpServersStartingContentPart.ts
- src/vs/workbench/contrib/chat/browser/widget/chatListRenderer.ts
- src/vs/workbench/contrib/chat/common/chatService/chatService.ts
- src/vs/workbench/contrib/chat/common/model/chatModel.ts
- src/vs/workbench/contrib/chat/common/model/chatSessionOperationLog.ts
- src/vs/workbench/contrib/chat/common/model/chatViewModel.ts
- src/vs/workbench/contrib/chat/test/browser/widget/chatContentParts/chatMcpServersStartingContentPart.test.ts
Additions: 242, Deletions: 9

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

Commit Messages:
chat: show ""Starting MCP servers…"" hint for slow agent-host startup

When a new agent-host turn begins and one or more MCP servers stay in the
`starting` state past a short grace period (5s) without any content arriving
from the host, surface a lightweight progress hint listing the servers still
starting. The hint is observable-backed: it updates as servers finish and hides
itself once every server has started, content starts being received, or the
turn ends — whichever happens first. There is no interactive affordance (no
""Skip"").

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>
---
Potential fix for pull request finding

Co-authored-by: Copilot Autofix powered by AI <175728472+Copilot@users.noreply.github.com>","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'bb0e467f-65b1-4354-b148-781258a45aec'}}",,0.0,536,2026-07-13T16:16:55.750214+00:00
microsoft/vscode,324099,Copilot CLI agent-host: experimentation overrides + config split,False,3,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (27):
- src/vs/platform/agentHost/common/agentHostCustomizationConfig.ts
- src/vs/platform/agentHost/common/agentService.ts
- src/vs/platform/agentHost/common/copilotCliConfig.ts
- src/vs/platform/agentHost/node/agentConfigurationService.ts
- src/vs/platform/agentHost/node/copilot/copilotAgent.ts
- src/vs/platform/agentHost/node/copilot/copilotAgentSession.ts
- src/vs/platform/agentHost/node/copilot/copilotSessionLauncher.ts
- src/vs/platform/agentHost/node/copilot/prompts/AGENTS.md
- src/vs/platform/agentHost/node/copilot/prompts/anthropicPrompt.ts
- src/vs/platform/agentHost/node/copilot/prompts/promptRegistry.ts
- src/vs/platform/agentHost/node/copilot/sandboxConfigForSdk.ts
- src/vs/platform/agentHost/test/common/copilotCliConfig.test.ts
- src/vs/platform/agentHost/test/node/agentHostPromptRegistry.test.ts
- src/vs/platform/agentHost/test/node/copilotAgent.test.ts
- src/vs/platform/agentHost/test/node/copilotAgentSession.test.ts
- src/vs/platform/agentHost/test/node/copilotSessionLauncher.test.ts
- src/vs/platform/agentHost/test/node/protocol/realSdkTestHelpers.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostCopilotCliSettingsContribution.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostCopilotPromptContribution.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostRootConfigForwarder.ts
Additions: 669, Deletions: 386

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

Commit Messages:
Copilot CLI agent-host: experimentation overrides + config split

Ports reasoningEffortOverride and modelCapabilityOverrides from the Copilot
Chat extension to the Copilot CLI agent-host provider, and splits
Copilot-CLI-specific root-config keys into a dedicated schema.

- New settings chat.agentHost.reasoningEffortOverride and
  chat.agentHost.modelCapabilityOverrides (experimental/advanced), forwarded
  into the local agent host root config.
- New copilotCliConfig module owns CLI-only keys; opus48Prompt,
  enableCustomTerminalTool, rubberDuck moved out of the shared schema (wire
  strings unchanged, so persisted config stays valid).
- Reasoning-effort override applied at session create and mid-session model
  change; family alias applied for prompt routing only (wire model id
  untouched).
- Shared AgentHostRootConfigForwarder de-duplicates the settings->root-config
  forwarding (schema gate, hydration retry, cross-window loop guard).
---
agentHost: consolidate CLI setting IDs, extract sandbox forwarder, trim comments

- Move the chat.agentHost.* Copilot-CLI setting IDs into copilotCliConfig.ts
  beside their root-config keys; rename the prompt contribution to
  AgentHostCopilotCliSettingsContribution.
- Extract the sandbox settings forwarding into AgentHostSandboxForwarder.
- Trim verbose doc/inline comments across the changed agent-host files.
---
agentHost: revert comment-only changes in agentHostSandboxForwarder (keep import change only)
---
agentHost: clarify reasoning-effort override wording (recognized level vs model-supported)","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '5f6839c8-5a02-4a58-9fb3-2476ebad45ab'}}",,0.0,536,2026-07-13T16:16:55.846025+00:00
