repo,pr_id,title,merged,context_type,prompt_type,prompt,response,pred_merge,elapsed_s,response_length,created_at
microsoft/vscode,324160,fix: prevent unbounded PersistentProtocol replay buffer,False,1,few,"You are a senior GitHub reviewer. Learn from the examples and apply the same style.
For the new pull request, provide Merge Prediction and Review Comment.

Examples:
Context:
Diff summary:
- src/app.py
- tests/test_app.py
Additions: 15, Deletions: 2

PR Description:
Fixes a null pointer exception in the request handler.

Commit Messages:
fix: prevent null pointer in request handler
Modified Files:
- src/app.py
- tests/test_app.py
Response:
Merge Prediction: Yes.
Review Comment: The change appears correct and addresses the null pointer issue.
Please add a unit test for the new request handler branch and confirm the error path is covered.

Context:
Diff summary:
- src/auth.py
- src/session.py
Additions: 30, Deletions: 5

PR Description:
Improves authentication state handling.

Commit Messages:
refactor: simplify auth token refresh
Modified Files:
- src/auth.py
- src/session.py
Response:
Merge Prediction: No.
Review Comment: The auth-state changes are promising, but the new error-handling branch is not covered by tests and may break session refresh.
Please verify the token expiry behavior and add regression tests for refresh failure cases.

New PR Context:
Diff summary:
Modified files (3):
- src/vs/base/parts/ipc/common/ipc.net.ts
- src/vs/base/parts/ipc/test/node/ipc.net.test.ts
- src/vs/platform/remote/common/remoteAgentConnection.ts
Additions: 164, Deletions: 2

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '6e9910f3-2a2d-45ee-b10d-f38d4e177fc4'}}",,0.0,536,2026-07-13T11:59:24.192037+00:00
microsoft/vscode,324157,Fix tool selection in Local harness,True,1,few,"You are a senior GitHub reviewer. Learn from the examples and apply the same style.
For the new pull request, provide Merge Prediction and Review Comment.

Examples:
Context:
Diff summary:
- src/app.py
- tests/test_app.py
Additions: 15, Deletions: 2

PR Description:
Fixes a null pointer exception in the request handler.

Commit Messages:
fix: prevent null pointer in request handler
Modified Files:
- src/app.py
- tests/test_app.py
Response:
Merge Prediction: Yes.
Review Comment: The change appears correct and addresses the null pointer issue.
Please add a unit test for the new request handler branch and confirm the error path is covered.

Context:
Diff summary:
- src/auth.py
- src/session.py
Additions: 30, Deletions: 5

PR Description:
Improves authentication state handling.

Commit Messages:
refactor: simplify auth token refresh
Modified Files:
- src/auth.py
- src/session.py
Response:
Merge Prediction: No.
Review Comment: The auth-state changes are promising, but the new error-handling branch is not covered by tests and may break session refresh.
Please verify the token expiry behavior and add regression tests for refresh failure cases.

New PR Context:
Diff summary:
Modified files (2):
- src/vs/workbench/contrib/chat/browser/widget/input/chatSelectedTools.ts
- src/vs/workbench/contrib/chat/test/browser/widget/input/chatSelectedTools.test.ts
Additions: 58, Deletions: 0

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '0bd8229b-9f4e-4ea6-8d72-7c19c776d3b5'}}",,0.0,536,2026-07-13T11:59:24.277817+00:00
microsoft/vscode,324143,"Fixed ""Overview"" highlight and tab navigation in ""Agent Customizations for Local"".",False,1,few,"You are a senior GitHub reviewer. Learn from the examples and apply the same style.
For the new pull request, provide Merge Prediction and Review Comment.

Examples:
Context:
Diff summary:
- src/app.py
- tests/test_app.py
Additions: 15, Deletions: 2

PR Description:
Fixes a null pointer exception in the request handler.

Commit Messages:
fix: prevent null pointer in request handler
Modified Files:
- src/app.py
- tests/test_app.py
Response:
Merge Prediction: Yes.
Review Comment: The change appears correct and addresses the null pointer issue.
Please add a unit test for the new request handler branch and confirm the error path is covered.

Context:
Diff summary:
- src/auth.py
- src/session.py
Additions: 30, Deletions: 5

PR Description:
Improves authentication state handling.

Commit Messages:
refactor: simplify auth token refresh
Modified Files:
- src/auth.py
- src/session.py
Response:
Merge Prediction: No.
Review Comment: The auth-state changes are promising, but the new error-handling branch is not covered by tests and may break session refresh.
Please verify the token expiry behavior and add regression tests for refresh failure cases.

New PR Context:
Diff summary:
Modified files (2):
- src/vs/workbench/contrib/chat/browser/aiCustomization/aiCustomizationManagementEditor.ts
- src/vs/workbench/contrib/chat/browser/aiCustomization/media/aiCustomizationManagement.css
Additions: 38, Deletions: 178

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'b756a824-8aa7-4fcc-bc90-eb98261fa04e'}}",,0.0,536,2026-07-13T11:59:24.732872+00:00
microsoft/vscode,324135,Update distro commit (main),False,1,few,"You are a senior GitHub reviewer. Learn from the examples and apply the same style.
For the new pull request, provide Merge Prediction and Review Comment.

Examples:
Context:
Diff summary:
- src/app.py
- tests/test_app.py
Additions: 15, Deletions: 2

PR Description:
Fixes a null pointer exception in the request handler.

Commit Messages:
fix: prevent null pointer in request handler
Modified Files:
- src/app.py
- tests/test_app.py
Response:
Merge Prediction: Yes.
Review Comment: The change appears correct and addresses the null pointer issue.
Please add a unit test for the new request handler branch and confirm the error path is covered.

Context:
Diff summary:
- src/auth.py
- src/session.py
Additions: 30, Deletions: 5

PR Description:
Improves authentication state handling.

Commit Messages:
refactor: simplify auth token refresh
Modified Files:
- src/auth.py
- src/session.py
Response:
Merge Prediction: No.
Review Comment: The auth-state changes are promising, but the new error-handling branch is not covered by tests and may break session refresh.
Please verify the token expiry behavior and add regression tests for refresh failure cases.

New PR Context:
Diff summary:
Modified files (1):
- package.json
Additions: 1, Deletions: 1

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'f3d1d3ed-2e63-4484-b105-b40c013f20e0'}}",,0.0,536,2026-07-13T11:59:24.819566+00:00
microsoft/vscode,324132,sessions: fix endless spinner in Changes view for non-git folders,False,1,few,"You are a senior GitHub reviewer. Learn from the examples and apply the same style.
For the new pull request, provide Merge Prediction and Review Comment.

Examples:
Context:
Diff summary:
- src/app.py
- tests/test_app.py
Additions: 15, Deletions: 2

PR Description:
Fixes a null pointer exception in the request handler.

Commit Messages:
fix: prevent null pointer in request handler
Modified Files:
- src/app.py
- tests/test_app.py
Response:
Merge Prediction: Yes.
Review Comment: The change appears correct and addresses the null pointer issue.
Please add a unit test for the new request handler branch and confirm the error path is covered.

Context:
Diff summary:
- src/auth.py
- src/session.py
Additions: 30, Deletions: 5

PR Description:
Improves authentication state handling.

Commit Messages:
refactor: simplify auth token refresh
Modified Files:
- src/auth.py
- src/session.py
Response:
Merge Prediction: No.
Review Comment: The auth-state changes are promising, but the new error-handling branch is not covered by tests and may break session refresh.
Please verify the token expiry behavior and add regression tests for refresh failure cases.

New PR Context:
Diff summary:
Modified files (1):
- src/vs/sessions/contrib/providers/copilotChatSessions/browser/copilotChatSessionsChangesets.ts
Additions: 1, Deletions: 1

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '5706b96e-2e66-42f5-9ca8-eeca02c24f8d'}}",,0.0,536,2026-07-13T11:59:25.282270+00:00
microsoft/vscode,324128,build(deps-dev): bump tmp from 0.2.6 to 0.2.7 in /test/integration/browser,False,1,few,"You are a senior GitHub reviewer. Learn from the examples and apply the same style.
For the new pull request, provide Merge Prediction and Review Comment.

Examples:
Context:
Diff summary:
- src/app.py
- tests/test_app.py
Additions: 15, Deletions: 2

PR Description:
Fixes a null pointer exception in the request handler.

Commit Messages:
fix: prevent null pointer in request handler
Modified Files:
- src/app.py
- tests/test_app.py
Response:
Merge Prediction: Yes.
Review Comment: The change appears correct and addresses the null pointer issue.
Please add a unit test for the new request handler branch and confirm the error path is covered.

Context:
Diff summary:
- src/auth.py
- src/session.py
Additions: 30, Deletions: 5

PR Description:
Improves authentication state handling.

Commit Messages:
refactor: simplify auth token refresh
Modified Files:
- src/auth.py
- src/session.py
Response:
Merge Prediction: No.
Review Comment: The auth-state changes are promising, but the new error-handling branch is not covered by tests and may break session refresh.
Please verify the token expiry behavior and add regression tests for refresh failure cases.

New PR Context:
Diff summary:
Modified files (2):
- test/integration/browser/package-lock.json
- test/integration/browser/package.json
Additions: 5, Deletions: 5

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '491c7f8c-3e6b-46ce-8294-7dd665bd3136'}}",,0.0,536,2026-07-13T11:59:25.516230+00:00
microsoft/vscode,324127,Group agent-host models by provider in the picker,False,1,few,"You are a senior GitHub reviewer. Learn from the examples and apply the same style.
For the new pull request, provide Merge Prediction and Review Comment.

Examples:
Context:
Diff summary:
- src/app.py
- tests/test_app.py
Additions: 15, Deletions: 2

PR Description:
Fixes a null pointer exception in the request handler.

Commit Messages:
fix: prevent null pointer in request handler
Modified Files:
- src/app.py
- tests/test_app.py
Response:
Merge Prediction: Yes.
Review Comment: The change appears correct and addresses the null pointer issue.
Please add a unit test for the new request handler branch and confirm the error path is covered.

Context:
Diff summary:
- src/auth.py
- src/session.py
Additions: 30, Deletions: 5

PR Description:
Improves authentication state handling.

Commit Messages:
refactor: simplify auth token refresh
Modified Files:
- src/auth.py
- src/session.py
Response:
Merge Prediction: No.
Review Comment: The auth-state changes are promising, but the new error-handling branch is not covered by tests and may break session refresh.
Please verify the token expiry behavior and add regression tests for refresh failure cases.

New PR Context:
Diff summary:
Modified files (8):
- src/vs/sessions/contrib/providers/agentHost/browser/baseAgentHostSessionsProvider.ts
- src/vs/workbench/api/browser/mainThreadLanguageModels.ts
- src/vs/workbench/api/test/browser/mainThreadLanguageModels.test.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostLanguageModelProvider.ts
- src/vs/workbench/contrib/chat/browser/widget/input/chatModelPicker.ts
- src/vs/workbench/contrib/chat/common/languageModels.ts
- src/vs/workbench/contrib/chat/test/browser/agentSessions/agentHostLanguageModelProvider.test.ts
- src/vs/workbench/contrib/chat/test/browser/widget/input/chatModelPicker.test.ts
Additions: 252, Deletions: 4

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '9f502f62-3146-4c2b-84a4-935214133853'}}",,0.0,536,2026-07-13T11:59:25.974711+00:00
microsoft/vscode,324124,Read remote user mcp.json into configuration model,False,1,few,"You are a senior GitHub reviewer. Learn from the examples and apply the same style.
For the new pull request, provide Merge Prediction and Review Comment.

Examples:
Context:
Diff summary:
- src/app.py
- tests/test_app.py
Additions: 15, Deletions: 2

PR Description:
Fixes a null pointer exception in the request handler.

Commit Messages:
fix: prevent null pointer in request handler
Modified Files:
- src/app.py
- tests/test_app.py
Response:
Merge Prediction: Yes.
Review Comment: The change appears correct and addresses the null pointer issue.
Please add a unit test for the new request handler branch and confirm the error path is covered.

Context:
Diff summary:
- src/auth.py
- src/session.py
Additions: 30, Deletions: 5

PR Description:
Improves authentication state handling.

Commit Messages:
refactor: simplify auth token refresh
Modified Files:
- src/auth.py
- src/session.py
Response:
Merge Prediction: No.
Review Comment: The auth-state changes are promising, but the new error-handling branch is not covered by tests and may break session refresh.
Please verify the token expiry behavior and add regression tests for refresh failure cases.

New PR Context:
Diff summary:
Modified files (2):
- src/vs/workbench/services/configuration/browser/configuration.ts
- src/vs/workbench/services/configuration/test/browser/configurationService.test.ts
Additions: 79, Deletions: 13

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'c6bac90a-eccf-4e87-ad47-7ddb82cb63f2'}}",,0.0,536,2026-07-13T11:59:26.057888+00:00
microsoft/vscode,324118,Fix browser behaviors in agents window,True,1,few,"You are a senior GitHub reviewer. Learn from the examples and apply the same style.
For the new pull request, provide Merge Prediction and Review Comment.

Examples:
Context:
Diff summary:
- src/app.py
- tests/test_app.py
Additions: 15, Deletions: 2

PR Description:
Fixes a null pointer exception in the request handler.

Commit Messages:
fix: prevent null pointer in request handler
Modified Files:
- src/app.py
- tests/test_app.py
Response:
Merge Prediction: Yes.
Review Comment: The change appears correct and addresses the null pointer issue.
Please add a unit test for the new request handler branch and confirm the error path is covered.

Context:
Diff summary:
- src/auth.py
- src/session.py
Additions: 30, Deletions: 5

PR Description:
Improves authentication state handling.

Commit Messages:
refactor: simplify auth token refresh
Modified Files:
- src/auth.py
- src/session.py
Response:
Merge Prediction: No.
Review Comment: The auth-state changes are promising, but the new error-handling branch is not covered by tests and may break session refresh.
Please verify the token expiry behavior and add regression tests for refresh failure cases.

New PR Context:
Diff summary:
Modified files (7):
- src/vs/sessions/LAYOUT.md
- src/vs/sessions/LAYOUT_CONTROLLER.md
- src/vs/sessions/contrib/browserView/browser/sessionBrowserView.ts
- src/vs/sessions/contrib/layout/browser/baseSessionLayoutController.md
- src/vs/sessions/contrib/layout/browser/baseSessionLayoutController.ts
- src/vs/sessions/contrib/layout/test/browser/baseSessionLayoutController.test.ts
- src/vs/sessions/contrib/layout/test/browser/layoutControllerTestUtils.ts
Additions: 120, Deletions: 48

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '1f35bda2-f6f2-480d-b61d-87571d2c485c'}}",,0.0,536,2026-07-13T11:59:26.139918+00:00
microsoft/vscode,324117,Enable provider-level ZDR for OpenAI BYOK and surface Responses API stream errors as terminal failures,True,1,few,"You are a senior GitHub reviewer. Learn from the examples and apply the same style.
For the new pull request, provide Merge Prediction and Review Comment.

Examples:
Context:
Diff summary:
- src/app.py
- tests/test_app.py
Additions: 15, Deletions: 2

PR Description:
Fixes a null pointer exception in the request handler.

Commit Messages:
fix: prevent null pointer in request handler
Modified Files:
- src/app.py
- tests/test_app.py
Response:
Merge Prediction: Yes.
Review Comment: The change appears correct and addresses the null pointer issue.
Please add a unit test for the new request handler branch and confirm the error path is covered.

Context:
Diff summary:
- src/auth.py
- src/session.py
Additions: 30, Deletions: 5

PR Description:
Improves authentication state handling.

Commit Messages:
refactor: simplify auth token refresh
Modified Files:
- src/auth.py
- src/session.py
Response:
Merge Prediction: No.
Review Comment: The auth-state changes are promising, but the new error-handling branch is not covered by tests and may break session refresh.
Please verify the token expiry behavior and add regression tests for refresh failure cases.

New PR Context:
Diff summary:
Modified files (5):
- extensions/copilot/package.json
- extensions/copilot/src/extension/byok/vscode-node/openAIProvider.ts
- extensions/copilot/src/extension/byok/vscode-node/test/openAIProvider.spec.ts
- extensions/copilot/src/platform/endpoint/node/responsesApi.ts
- extensions/copilot/src/platform/endpoint/node/test/responsesApi.spec.ts
Additions: 118, Deletions: 3

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'd3cb7409-7307-498b-b08b-de5c05aad215'}}",,0.0,536,2026-07-13T11:59:26.223951+00:00
