repo,pr_id,title,merged,context_type,prompt_type,prompt,response,pred_merge,elapsed_s,response_length,created_at
microsoft/vscode,324160,fix: prevent unbounded PersistentProtocol replay buffer,False,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (3):
- src/vs/base/parts/ipc/common/ipc.net.ts
- src/vs/base/parts/ipc/test/node/ipc.net.test.ts
- src/vs/platform/remote/common/remoteAgentConnection.ts
Additions: 164, Deletions: 2

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '93b159da-a874-45c4-a3c3-8ece688e0f75'}}",,0.0,536,2026-07-13T12:01:34.136838+00:00
microsoft/vscode,324157,Fix tool selection in Local harness,True,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (2):
- src/vs/workbench/contrib/chat/browser/widget/input/chatSelectedTools.ts
- src/vs/workbench/contrib/chat/test/browser/widget/input/chatSelectedTools.test.ts
Additions: 58, Deletions: 0

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'a8bdc37d-131e-4746-9da3-a4cc95dc4dba'}}",,0.0,536,2026-07-13T12:01:34.210469+00:00
microsoft/vscode,324143,"Fixed ""Overview"" highlight and tab navigation in ""Agent Customizations for Local"".",False,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (2):
- src/vs/workbench/contrib/chat/browser/aiCustomization/aiCustomizationManagementEditor.ts
- src/vs/workbench/contrib/chat/browser/aiCustomization/media/aiCustomizationManagement.css
Additions: 38, Deletions: 178

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '8cc41954-f726-42d9-bdc0-93863bf799e7'}}",,0.0,536,2026-07-13T12:01:34.286167+00:00
microsoft/vscode,324135,Update distro commit (main),False,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (1):
- package.json
Additions: 1, Deletions: 1

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'bacc8c8b-1af6-40c1-9678-73f9a6738058'}}",,0.0,536,2026-07-13T12:01:34.359851+00:00
microsoft/vscode,324132,sessions: fix endless spinner in Changes view for non-git folders,False,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (1):
- src/vs/sessions/contrib/providers/copilotChatSessions/browser/copilotChatSessionsChangesets.ts
Additions: 1, Deletions: 1

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '95966725-9ad3-455c-bbe3-bec55a5faee4'}}",,0.0,536,2026-07-13T12:01:34.432784+00:00
microsoft/vscode,324128,build(deps-dev): bump tmp from 0.2.6 to 0.2.7 in /test/integration/browser,False,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (2):
- test/integration/browser/package-lock.json
- test/integration/browser/package.json
Additions: 5, Deletions: 5

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '9f672550-b792-4cc0-af00-e14724e11cd6'}}",,0.0,536,2026-07-13T12:01:34.504889+00:00
microsoft/vscode,324127,Group agent-host models by provider in the picker,False,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (8):
- src/vs/sessions/contrib/providers/agentHost/browser/baseAgentHostSessionsProvider.ts
- src/vs/workbench/api/browser/mainThreadLanguageModels.ts
- src/vs/workbench/api/test/browser/mainThreadLanguageModels.test.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostLanguageModelProvider.ts
- src/vs/workbench/contrib/chat/browser/widget/input/chatModelPicker.ts
- src/vs/workbench/contrib/chat/common/languageModels.ts
- src/vs/workbench/contrib/chat/test/browser/agentSessions/agentHostLanguageModelProvider.test.ts
- src/vs/workbench/contrib/chat/test/browser/widget/input/chatModelPicker.test.ts
Additions: 252, Deletions: 4

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '686cc693-037e-4a4a-9ec3-f65a56bed786'}}",,0.0,536,2026-07-13T12:01:34.579313+00:00
microsoft/vscode,324124,Read remote user mcp.json into configuration model,False,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (2):
- src/vs/workbench/services/configuration/browser/configuration.ts
- src/vs/workbench/services/configuration/test/browser/configurationService.test.ts
Additions: 79, Deletions: 13

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '92439e66-9cbe-4eed-8217-f4e1ba6dbdd0'}}",,0.0,536,2026-07-13T12:01:34.651650+00:00
microsoft/vscode,324118,Fix browser behaviors in agents window,True,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (7):
- src/vs/sessions/LAYOUT.md
- src/vs/sessions/LAYOUT_CONTROLLER.md
- src/vs/sessions/contrib/browserView/browser/sessionBrowserView.ts
- src/vs/sessions/contrib/layout/browser/baseSessionLayoutController.md
- src/vs/sessions/contrib/layout/browser/baseSessionLayoutController.ts
- src/vs/sessions/contrib/layout/test/browser/baseSessionLayoutController.test.ts
- src/vs/sessions/contrib/layout/test/browser/layoutControllerTestUtils.ts
Additions: 120, Deletions: 48

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '16c7d311-4a77-4942-995f-131413bfb2af'}}",,0.0,536,2026-07-13T12:01:34.725407+00:00
microsoft/vscode,324117,Enable provider-level ZDR for OpenAI BYOK and surface Responses API stream errors as terminal failures,True,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (5):
- extensions/copilot/package.json
- extensions/copilot/src/extension/byok/vscode-node/openAIProvider.ts
- extensions/copilot/src/extension/byok/vscode-node/test/openAIProvider.spec.ts
- extensions/copilot/src/platform/endpoint/node/responsesApi.ts
- extensions/copilot/src/platform/endpoint/node/test/responsesApi.spec.ts
Additions: 118, Deletions: 3

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'cefb43da-002a-4d00-be7e-2f8b9e8e4e35'}}",,0.0,536,2026-07-13T12:01:34.799880+00:00
microsoft/vscode,324116,AgentHost - add table to store reviewed files,True,1,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (4):
- src/vs/platform/agentHost/common/sessionDataService.ts
- src/vs/platform/agentHost/node/sessionDatabase.ts
- src/vs/platform/agentHost/test/common/sessionTestHelpers.ts
- src/vs/platform/agentHost/test/node/sessionDatabase.test.ts
Additions: 202, Deletions: 3

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '643035d7-1170-42fa-a6eb-6c32af10440c'}}",,0.0,536,2026-07-13T12:01:34.873799+00:00
