repo,pr_id,title,merged,context_type,prompt_type,prompt,response,pred_merge,elapsed_s,response_length,created_at
microsoft/vscode,324160,fix: prevent unbounded PersistentProtocol replay buffer,False,1,zero,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Use only the context below and do not invent extra facts.

Context:
Diff summary:
Modified files (3):
- src/vs/base/parts/ipc/common/ipc.net.ts
- src/vs/base/parts/ipc/test/node/ipc.net.test.ts
- src/vs/platform/remote/common/remoteAgentConnection.ts
Additions: 164, Deletions: 2

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","**Merge Prediction:** Yes

**Reasoning:**  
The PR adds 164 lines and deletes only 2, suggesting a focused enhancement with minimal risk of breaking existing functionality. The inclusion of a test file (`ipc.net.test.ts`) indicates the changes are backed by tests, which is a strong positive signal. The modifications target core IPC networking and remote connection logic, and the low deletion count implies backward compatibility is preserved. Given the metadata, the change appears safe and beneficial.

**Review Comment:**  
Strengths:  
- The addition of tests in `ipc.net.test.ts` is a good practice, improving confidence in the IPC networking changes.  
- The small number of deletions (2) suggests the implementation is additive and maintains backward compatibility.  

Issues/Concerns:  
- With 164 additions, there is a risk of missing edge cases in error handling, resource cleanup, or performance regressions, especially in network-layer code.  
- The remote agent connection changes (`remoteAgentConnection.ts`) could affect connectivity reliability; any subtle bug might be hard to catch without thorough integration testing.  

Suggestions:  
- Verify that all new code paths handle socket errors, timeouts, and unexpected disconnections gracefully.  
- Ensure that resources (sockets, event listeners) are properly disposed or cleaned up to avoid leaks.  
- Consider adding more negative test cases (e.g., malformed messages, connection drops) to the test suite.  
- If the IPC changes introduce new protocol messages or states, document them clearly for future maintainers.",1.0,15.456953525543213,1590,2026-07-13T07:16:02.727725+00:00
microsoft/vscode,324157,Fix tool selection in Local harness,True,1,zero,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Use only the context below and do not invent extra facts.

Context:
Diff summary:
Modified files (2):
- src/vs/workbench/contrib/chat/browser/widget/input/chatSelectedTools.ts
- src/vs/workbench/contrib/chat/test/browser/widget/input/chatSelectedTools.test.ts
Additions: 58, Deletions: 0

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","Merge Prediction: Yes

Review Comment:  
The PR adds 58 lines across the chatSelectedTools widget and its test file with no deletions. Inclusion of tests is a positive signal. However, without the actual code diff it’s impossible to assess correctness, edge‑case handling, or adherence to project conventions. To ensure a safe merge, please provide the full diff for review, and verify that all behavioral changes are covered by tests (including any necessary accessibility or i18n considerations).

Reasoning: The limited metadata suggests a small, test‑backed change—generally low‑risk—but the absence of the actual diff prevents a definitive evaluation.",0.0,18.44285535812378,656,2026-07-13T07:16:21.171381+00:00
microsoft/vscode,324143,"Fixed ""Overview"" highlight and tab navigation in ""Agent Customizations for Local"".",False,1,zero,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Use only the context below and do not invent extra facts.

Context:
Diff summary:
Modified files (2):
- src/vs/workbench/contrib/chat/browser/aiCustomization/aiCustomizationManagementEditor.ts
- src/vs/workbench/contrib/chat/browser/aiCustomization/media/aiCustomizationManagement.css
Additions: 38, Deletions: 178

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","**Merge Prediction:** No

**Review Comment:**  
The summary shows a net reduction of 140 lines across two files (38 additions, 178 deletions), which suggests a refactor or cleanup. However, without the actual unified diff, I cannot verify the correctness, readability, or impact of the changes. A proper review requires the complete code diff to assess logic, edge cases, and adherence to project standards. Please provide the full diff so I can evaluate the changes thoroughly.",0.0,9.1364107131958,478,2026-07-13T07:16:30.308359+00:00
microsoft/vscode,324135,Update distro commit (main),False,1,zero,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Use only the context below and do not invent extra facts.

Context:
Diff summary:
Modified files (1):
- package.json
Additions: 1, Deletions: 1

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","**Merge Prediction:** No

**Review Comment:**  
This PR modifies `package.json` with a single addition and deletion, but the actual diff is not provided in the context. Without seeing which dependency, script, or configuration line was changed, it’s impossible to assess correctness, verify compatibility, or ensure it aligns with project standards.  

**Strengths:** The change is minimal, which reduces risk.  

**Issues:**  
- Missing the actual diff prevents reviewing the exact change.  
- No description or linked issue explains the purpose of the modification.  

**Improvement Suggestions:**  
- Include the diff or ensure the PR description clearly states what was changed and why.  
- If this is a dependency update, run tests and mention the results.  
- Link to a related issue or ticket if applicable.",0.0,10.704971075057983,814,2026-07-13T07:16:41.014031+00:00
microsoft/vscode,324132,sessions: fix endless spinner in Changes view for non-git folders,False,1,zero,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Use only the context below and do not invent extra facts.

Context:
Diff summary:
Modified files (1):
- src/vs/sessions/contrib/providers/copilotChatSessions/browser/copilotChatSessionsChangesets.ts
Additions: 1, Deletions: 1

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","Merge Prediction: No

Review Comment: The provided context lacks the actual diff patch, so it's impossible to verify what the change is, whether it's correct, or if it introduces any side effects. A meaningful review requires seeing the exact code modification. Please include the diff in the PR description or ensure the review tooling surfaces it. Once the diff is visible, I can assess the change for correctness, style, and potential impact. Until then, I cannot approve the merge.",0.0,14.41664457321167,485,2026-07-13T07:16:55.431493+00:00
microsoft/vscode,324128,build(deps-dev): bump tmp from 0.2.6 to 0.2.7 in /test/integration/browser,False,1,zero,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Use only the context below and do not invent extra facts.

Context:
Diff summary:
Modified files (2):
- test/integration/browser/package-lock.json
- test/integration/browser/package.json
Additions: 5, Deletions: 5

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","Merge Prediction: **Yes**

Review Comment:  
The changes are limited to the browser integration test’s `package.json` and `package-lock.json`, with a net zero change in line count (5 additions, 5 deletions). This pattern typically reflects a minor dependency update, version bump, or lock file regeneration. Without the actual diff, the change seems low-risk. Before merging, ensure:
- The `package.json` and `package-lock.json` changes are **consistent** (e.g., lock file was regenerated with the same package manager).
- The **integration tests pass** with the updated dependencies.
- If the change is a dependency update, confirm the version change is intentional and compatible (no breaking changes in the browser test environment).

Overall, the PR is safe to merge provided the checks above are satisfied.",0.0,7.3606860637664795,811,2026-07-13T07:17:02.792674+00:00
microsoft/vscode,324127,Group agent-host models by provider in the picker,False,1,zero,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Use only the context below and do not invent extra facts.

Context:
Diff summary:
Modified files (8):
- src/vs/sessions/contrib/providers/agentHost/browser/baseAgentHostSessionsProvider.ts
- src/vs/workbench/api/browser/mainThreadLanguageModels.ts
- src/vs/workbench/api/test/browser/mainThreadLanguageModels.test.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostLanguageModelProvider.ts
- src/vs/workbench/contrib/chat/browser/widget/input/chatModelPicker.ts
- src/vs/workbench/contrib/chat/common/languageModels.ts
- src/vs/workbench/contrib/chat/test/browser/agentSessions/agentHostLanguageModelProvider.test.ts
- src/vs/workbench/contrib/chat/test/browser/widget/input/chatModelPicker.test.ts
Additions: 252, Deletions: 4

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","**Merge Prediction:** Yes  
**Reasoning:** The PR adds 252 lines across 8 files, with only 4 deletions, indicating a net feature addition or refactoring that is largely additive. The inclusion of test files (4 out of 8 modified files) suggests the author is following good practices by updating/adding tests for the new functionality. The low deletion count reduces the risk of breaking existing functionality. Without seeing the actual diff, this structure alone is a positive signal.

**Review Comment:**  
- **Strengths:** The PR is focused on a clear set of related modules (agent host sessions, language model providers, chat model picker) and includes corresponding test files, which is commendable. The low deletion count indicates it’s primarily additive, minimizing regression risk.  
- **Issues/Limitations:** Since the actual diff is not provided, I cannot review the code quality, potential edge cases, or security implications. The file‑level summary alone is insufficient to assess correctness, performance, or adherence to existing patterns.  
- **Suggestions:**  
  1. Ensure new logic is covered by the added tests and that edge cases (e.g., provider failures, empty states, multi‑agent scenarios) are addressed.  
  2. Verify that the changes align with the codebase’s existing patterns—especially in the API layer (`mainThreadLanguageModels`) and the provider registration flow.  
  3. Consider adding inline documentation or comments where the new interactions might be non‑obvious.  
  4. Run the full test suite to confirm no regressions in unrelated areas.  

Overall, the PR appears to be a well‑structured feature enhancement, but final approval should be contingent on a thorough code review of the actual changes.",0.0,11.92802119255066,1740,2026-07-13T07:17:14.721399+00:00
microsoft/vscode,324124,Read remote user mcp.json into configuration model,False,1,zero,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Use only the context below and do not invent extra facts.

Context:
Diff summary:
Modified files (2):
- src/vs/workbench/services/configuration/browser/configuration.ts
- src/vs/workbench/services/configuration/test/browser/configurationService.test.ts
Additions: 79, Deletions: 13

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","1. Merge Prediction: No  
2. Review Comment: The PR modifies the configuration service and adds corresponding tests, which is a good practice. However, the actual diff is not available for review—only file-level metadata (79 additions, 13 deletions). Without seeing the code changes, it is impossible to verify correctness, assess potential regressions, or ensure code quality. Please provide the full diff and a clear description of the changes. Once the diff is available for a thorough review, the merge can be reconsidered.",0.0,12.081538438796997,527,2026-07-13T07:17:26.803683+00:00
microsoft/vscode,324118,Fix browser behaviors in agents window,True,1,zero,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Use only the context below and do not invent extra facts.

Context:
Diff summary:
Modified files (7):
- src/vs/sessions/LAYOUT.md
- src/vs/sessions/LAYOUT_CONTROLLER.md
- src/vs/sessions/contrib/browserView/browser/sessionBrowserView.ts
- src/vs/sessions/contrib/layout/browser/baseSessionLayoutController.md
- src/vs/sessions/contrib/layout/browser/baseSessionLayoutController.ts
- src/vs/sessions/contrib/layout/test/browser/baseSessionLayoutController.test.ts
- src/vs/sessions/contrib/layout/test/browser/layoutControllerTestUtils.ts
Additions: 120, Deletions: 48

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","1. **Merge Prediction:** Yes

2. **Review Comment:**  
   The PR updates both documentation and tests alongside the code changes, which is a strong indicator of a well‑prepared change. The modifications to `LAYOUT.md`, `LAYOUT_CONTROLLER.md`, and the inline markdown for the controller suggest that the API or behaviour of the layout controller is being clarified. The test file and test utilities are updated, which likely covers the new logic. Without seeing the actual diff, the main risk is whether the `sessionBrowserView.ts` integration correctly uses the updated controller and whether all edge cases are covered.  
   **Strengths:** Good discipline in keeping docs and tests in sync with the implementation.  
   **Suggestions:** Ensure that the new test utilities in `layoutControllerTestUtils.ts` are not accidentally exposing internal state; verify that the browser view’s usage of the layout controller does not break existing session view rendering – a quick manual smoke test would be helpful. If the controller’s signature changed, confirm that no other consumers are affected.",0.0,12.607812643051147,1092,2026-07-13T07:17:39.412498+00:00
microsoft/vscode,324117,Enable provider-level ZDR for OpenAI BYOK and surface Responses API stream errors as terminal failures,True,1,zero,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Use only the context below and do not invent extra facts.

Context:
Diff summary:
Modified files (5):
- extensions/copilot/package.json
- extensions/copilot/src/extension/byok/vscode-node/openAIProvider.ts
- extensions/copilot/src/extension/byok/vscode-node/test/openAIProvider.spec.ts
- extensions/copilot/src/platform/endpoint/node/responsesApi.ts
- extensions/copilot/src/platform/endpoint/node/test/responsesApi.spec.ts
Additions: 118, Deletions: 3

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.","**Merge Prediction:** Yes  
**Review Comment:**  
The changes are well-scoped, adding 118 lines with corresponding test updates for both the OpenAI provider and the responses API. Including tests is a good practice. Please verify that the `package.json` modification (version bump or new dependency) aligns with the feature’s requirements. Also, ensure that the new code paths include proper error handling (e.g., invalid API keys, network failures) and edge cases; the test coverage should reflect these scenarios. Overall, the PR looks safe to merge once these checks are confirmed.",1.0,11.732909917831421,584,2026-07-13T07:17:51.146480+00:00
