repo,pr_id,title,body,author,created_time,merged,labels
facebook/react,36921,[compiler] Preserve generated AST source offsets,"## Summary

This fixes a source location issue in the Rust React Compiler codegen path.

Generated AST nodes could preserve Babel `loc` information while still missing the node-level `start` / `end` offsets. Downstream tools generally expect `start` / `end` to carry the concrete source offsets for AST nodes. When those fields are missing, tools may lose source span information for generated output.

This change keeps AST node offsets separate from `loc` while lowering into HIR, then restores them when generating AST nodes again. In particular:

- preserve AST `base.start` / `base.end` alongside HIR source locations
- keep those offsets separate from `loc.start.index` / `loc.end.index`
- restore `start` / `end` on generated `BaseNode`s during reactive function codegen
- preserve offsets when reconstructing locations for generated variable declarators and related nodes

This keeps the fix in React Compiler itself, so downstream tools such as SWC, OXC, and Biome can rely on the standard node-level offsets.

## How did you test this change?

```sh
cargo check
cargo test
```

## Related

- Close: swc-project/swc#11979",magic-akari,2026-07-02T10:23:08Z,False,['CLA Signed']
facebook/react,36920,[eslint-plugin-react-hooks] Hoist flat configs to resolve TypeScript error,"<!--
  Thanks for submitting a pull request!
  We appreciate you spending the time to work on these changes. Please provide enough information so that others can review your pull request. The three fields below are mandatory.
-->

## Summary

Fixes #36907.

**Motivation:**
When developers import `eslint-plugin-react-hooks` in a TypeScript environment using the new ESLint 9 Flat Config, they encounter a `TS2322` error: `Property 'flat' is incompatible with index signature`. This happens because the exported `configs` object includes a nested `flat` object, which strictly violates the `ESLint.Plugin` type definition (`Record<string, Linter.Config>`).

**Changes made:**
1. **Hoisted Flat Configs:** Exposed the flat configs at the top level using standard ecosystem keys (`'flat/recommended'` and `'flat/recommended-latest'`), matching the pattern used by plugins like `typescript-eslint`.
2. **Maintained Backward Compatibility:** Retained the nested `configs.flat` object at runtime using a type override. This ensures that the type definitions are strictly compliant for `tsc` while preventing runtime breaks for developers who have already migrated to referencing `configs.flat.recommended`.

## How did you test this change?

1. **Local Issue Reproduction:**
   - Cloned the issue author's reproduction repository (`typescript-error-project`).
   - Ran `pnpm lint:tsc` and verified the original `TS2322` failure.
   - Manually replaced `node_modules/eslint-plugin-react-hooks/src/index.ts` with the updated code and deleted the cached `index.d.ts`.
   - Ran `pnpm lint:tsc` again. The compiler ran silently and exited with code `0`, confirming the type strictness issue is resolved.

2. **React Monorepo Build:**
   - Ran `yarn tsc` within `packages/eslint-plugin-react-hooks` to ensure the fix complies with the monorepo's internal TypeScript configuration.",ayush23chaudhary,2026-07-02T09:54:00Z,False,['CLA Signed']
facebook/react,36918,Add unref to MessageChannel port so it does not prevent node from exiting,"<!--
  Thanks for submitting a pull request!
  We appreciate you spending the time to work on these changes. Please provide enough information so that others can review your pull request. The three fields below are mandatory.

  Before submitting a pull request, please make sure the following is done:

  1. Fork [the repository](https://github.com/facebook/react) and create your branch from `main`.
  2. Run `yarn` in the repository root.
  3. If you've fixed a bug or added code that should be tested, add tests!
  4. Ensure the test suite passes (`yarn test`). Tip: `yarn test --watch TestName` is helpful in development.
  5. Run `yarn test --prod` to test in the production environment. It supports the same options as `yarn test`.
  6. If you need a debugger, run `yarn test --debug --watch TestName`, open `chrome://inspect`, and press ""Inspect"".
  7. Format your code with [prettier](https://github.com/prettier/prettier) (`yarn prettier`).
  8. Make sure your code lints (`yarn lint`). Tip: `yarn linc` to only check changed files.
  9. Run the [Flow](https://flowtype.org/) type checks (`yarn flow`).
  10. If you haven't already, complete the CLA.

  Learn more about contributing: https://reactjs.org/docs/how-to-contribute.html
-->

## Summary

Closes https://github.com/facebook/react/issues/26608
In addition to https://github.com/react/react/pull/36776

If ""react-dom/server"" is ever used in node environment, e.g. imported through some config file, we need to unref the message channel port. Otherwise it will cause the process to hang and never exits.

<!--
 Explain the **motivation** for making this change. What existing problem does the pull request solve?
-->

## How did you test this change?

<!--
  Demonstrate the code is solid. Example: The exact commands you ran and their output, screenshots / videos if the pull request changes the user interface.
  How exactly did you verify that your PR solves the issue you wanted to solve?
  If you leave this empty, your PR will very likely be closed.
-->

Same test as in https://github.com/react/react/pull/36776",smeng9,2026-07-01T19:35:13Z,False,['CLA Signed']
facebook/react,36917,[Fizz] Support nested enter/exit ViewTransition animations,"Adds SSR support for nested parentEnter/parentExit View Transitions. Fizz now emits vt-parent-enter/vt-parent-exit annotations during streaming, and the client picks them up on hydration, so nested enter/exit animations work for Suspense reveals.",jackpope,2026-07-01T15:51:16Z,False,"['CLA Signed', 'React Core Team']"
facebook/react,36916,[Fizz] Guard the shell-error callbacks instead of nulling them out on the request,"Follow-up to #36903

The previous change stopped `onAllReady` from firing after a fatal shell error by assigning `noop` to `request.onAllReady` inside `fatalError`. This mutated a completion callback on the request as a side channel, mirroring the existing `request.onShellError = noop` in `completeShell`. This refactor removes both noop assignments and instead guards the calls at the point where they would happen, so the callbacks on the request stay the ones the caller passed in.

For `onAllReady`, `erroredTask` now returns right after `fatalError` in the root (`boundary === null`) case, so it no longer falls through to the `allPendingTasks === 0` check that calls `completeAll`. This matches the sibling `finishAbortedTask`, which already returns after a fatal root error. Later task completions cannot reach `completeAll` either, because `performWork` bails out once the request status is past `OPEN`.

For `onShellError`, `fatalError` now decides whether to call it based on the same condition that governed the assignment: the shell is complete exactly when `request.pendingRootTasks === 0`, and `completeShell` only runs at that point, so guarding the call is equivalent to the previous nulling out. `onFatalError` still always fires because the error is always fatal to the request.

This is a behavior-preserving refactor of the fix landed in #36903; the tests added there continue to pass unchanged.
",eps1lon,2026-07-01T10:41:08Z,True,"['CLA Signed', 'React Core Team']"
facebook/react,36915,Add regression test for hydrating a defer <script> in the <head>,Passing test for https://github.com/react/react/issues/36169 confirming that `<script defer>` works just fine in jsdom. Still open whether this works in a browser.,eps1lon,2026-07-01T09:48:12Z,False,"['CLA Signed', 'React Core Team']"
facebook/react,36914,Fix panose1 SVG attribute alias,"getAttributeAlias.js maps `panose-1` to itself instead of mapping `panose1` to `panose-1`. possibleStandardNames.js already normalizes the prop to `panose1` (no hyphen), so the alias lookup is keyed on a value that's never actually passed in — the alias silently never fires and the hyphenated `panose-1` attribute never gets set on `<font-face>`.

Swapped the key to `panose1` and added a test alongside the other SVG-attribute-alias cases in the same file, verifying both the correct attribute is set and the unhyphenated one isn't. Confirmed it fails on the four SSR/hydration render paths without the fix and passes with it.",chatman-media,2026-07-01T07:33:33Z,False,['CLA Signed']
facebook/react,36913,[Perf Tracks] Don't enumerate typed array props in dev,"## Summary

Fixes #36200.

Passing a large `TypedArray` (e.g. `new Float32Array(25000000)`) as a prop
freezes rendering in development mode since 19.2 (production is unaffected).

The Performance Tracks property logger in `ReactPerformanceTrackProperties.js`
recurses into object prop values via `addObjectToProperties`, which enumerates
them with `for...in`. For a typed array this forces the engine to materialize a
string key for every index *up front* before the loop body runs, so the
existing `OBJECT_WIDTH_LIMIT` early-`break` (at 100 entries) never helps. A
25M-element array takes ~2s+ just to set up the enumeration, and the render
appears to hang.

Quick repro of the underlying cost:

```js
const big = new Uint8Array(25000000);
let n = 0;
console.time('for-in');
for (const key in big) { n++; if (n >= 100) break; } // breaks after 100
console.timeEnd('for-in'); // ~2260ms
```

This change skips enumeration for typed arrays and instead shows the type and
length (e.g. `Float32Array(25000000)`), which is fast and more useful than a
truncated list of numeric indices. `ArrayBuffer` and `DataView` have no
enumerable indexed properties, so they were never affected and keep their
existing behavior.

The guard is added in two places:
- `addValueToProperties` — the path used for component props (the reported
  case), producing the `Type(length)` descriptor.
- `addObjectToProperties` — a defensive early return so the direct callers in
  Flight (e.g. resolved async values) also can't hit the slow enumeration.

## How did you test this change?

- Added a regression test (`shows the type and length of typed arrays instead
  of enumerating them`) asserting the compact `Type(length)` output.
- Updated the existing `does not show all properties of wide objects` test to
  use a plain wide object so it keeps exercising the `OBJECT_WIDTH_LIMIT`
  truncation (typed arrays no longer reach that path).
- `yarn test ReactPerformanceTrack` — all pass.
- `yarn flow dom-node` — clean.
- ESLint/Prettier — clean.",UditDewan,2026-07-01T05:11:09Z,True,['CLA Signed']
facebook/react,36912,[compiler]: add `useWindowVirtualizer` to known incompatible libraries,"## Summary

#34493 added `@tanstack/react-virtual`'s `useVirtualizer` to the known incompatible libraries, but not `useWindowVirtualizer`.

Both hooks are thin wrappers around the same internal `useVirtualizerBase`, so they return the same referentially-stable virtualizer instance. Its methods (e.g. `getVirtualItems()`, `getTotalSize()`) return internally-mutated values rather than new ones, which is exactly the ""interior mutability"" pattern that breaks memoization described in the module type provider.

Because only `useVirtualizer` was registered, code using `useWindowVirtualizer` is silently compiled with the same unsafe memoization. In our app this froze `getVirtualItems()` to its first-render value (an empty `[]` before measurement), producing permanently-empty virtualized lists — the same class of bug #34493 fixed, just via the window variant.

This registers `useWindowVirtualizer` alongside `useVirtualizer` with the identical shape, in **both** implementations:
- `compiler/packages/babel-plugin-react-compiler/src/HIR/DefaultModuleTypeProvider.ts`
- `compiler/crates/react_compiler_hir/src/default_module_type_provider.rs` (Rust port)

See also the community report referenced in #34493: https://github.com/TanStack/virtual/issues/736#issuecomment-3065658277

## How did you test this change?

Each addition mirrors the existing `useVirtualizer` entry exactly (same kind, params, return type, and `knownIncompatible` message shape); both are data-only additions to the module type providers, following the precedent set by #34493 which changed only the TS file. The Rust change keeps the two providers in sync.
",gtkatakura,2026-07-01T01:40:26Z,False,['CLA Signed']
facebook/react,36911,Fix: Treat incomplete tree as an error during recovery,"In `recoverFromConcurrentError`, there's logic to determine if the latest render attempt resulted in another error or if it completed successfully, by checking whether the exit status matches RootErrored.

The logic was incomplete because RootSuspendedAtTheShell is also considered an errored state in this context. This can cause an incomplete tree (i.e. one that unwinds without entering the complete phase) to be mistaken for a complete one, leading to confusing errors. An incomplete tree can never be committed because it's not guaranteed to represent a coherent state.

An example of how this can manifest as a bug: in #33580, an error caught by an error boundary triggers a synchronous recovery render. During that render a parent component suspends on `use(thenable)` with no Suspense boundary above it, so the tree unwinds to the shell instead of completing. Because the incomplete tree is mistaken for a recovered one and committed, the parent fiber becomes current with a truncated hook list — only the hooks it rendered before suspending. On the next render it calls the rest of its hooks and throws ""Rendered more hooks than during the previous render.""

Fixes #33580.

Co-authored-by: Arunanshu Biswas <48434243+arunanshub@users.noreply.github.com>
",acdlite,2026-06-30T19:25:33Z,True,"['CLA Signed', 'React Core Team']"
